instances,p,distance max,temps calcul,nombre contraintes
wi29.tsp,5,1670.0,0.652,1266
dj38.tsp,5,415.0,2.197,2040
wi29.tsp,10,1108.0,0.612,1266
dj38.tsp,10,296.0,1.299,2040
wi29.tsp,15,817.0,0.634,1266
dj38.tsp,15,191.0,1.449,2040
wi29.tsp,20,559.0,0.597,1266
dj38.tsp,20,157.0,1.515,2040
